epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4598,0.90156,3.9002,0.98074,0.71669,0.56643,0.69982,0.64549,0.45478,2.05217,0.88927,8.28901e-05,8.28901e-05,8.28901e-05
2,104.713,0.48925,1.48548,0.86873,0.99343,0.99419,0.99498,0.93666,0.38789,0.51696,0.91791,0.000165401,0.000165401,0.000165401
3,153.976,0.37367,0.73595,0.84041,0.99901,0.99948,0.995,0.96764,0.27891,0.37626,0.8828,0.000247086,0.000247086,0.000247086
4,203.103,0.32216,0.59019,0.82587,0.9995,0.99992,0.995,0.97211,0.2743,0.33561,0.87997,0.000246287,0.000246287,0.000246287
5,252.164,0.28537,0.51847,0.8129,0.9996,1,0.995,0.98437,0.20589,0.29418,0.8756,0.00024505,0.00024505,0.00024505
6,301.256,0.26482,0.48562,0.80839,0.99949,0.99997,0.995,0.99059,0.17925,0.27265,0.87308,0.000243812,0.000243812,0.000243812
7,350.151,0.24981,0.4588,0.80642,0.99974,0.99999,0.995,0.99074,0.1673,0.25705,0.87675,0.000242575,0.000242575,0.000242575
8,399.219,0.23397,0.43649,0.80155,0.99979,1,0.995,0.99151,0.15102,0.23953,0.87761,0.000241337,0.000241337,0.000241337
9,448.154,0.2152,0.41277,0.79705,0.99972,1,0.995,0.99406,0.14213,0.2384,0.88669,0.0002401,0.0002401,0.0002401
10,497.671,0.20662,0.39523,0.79444,0.99973,1,0.995,0.99355,0.12964,0.22011,0.8849,0.000238862,0.000238862,0.000238862
11,547.127,0.19305,0.37377,0.7952,0.99975,0.99999,0.995,0.99448,0.1142,0.20241,0.88141,0.000237625,0.000237625,0.000237625
12,596.234,0.19081,0.36123,0.79474,0.99978,1,0.995,0.99471,0.11371,0.19465,0.88052,0.000236387,0.000236387,0.000236387
13,645.174,0.18603,0.35152,0.79024,0.99982,1,0.995,0.99344,0.1329,0.19545,0.88245,0.00023515,0.00023515,0.00023515
